idna_subject,checker_type,destination,source,tested_at,session_id
99789vip.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:08:58.773238,9eccd806894ae0aea5a13634
997907.tech,AVAILABILITY,origin.list,origin.list,2023-10-07 05:08:59.991257,9eccd806894ae0aea5a13634
9978s.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:00.166950,9eccd806894ae0aea5a13634
9978f.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:00.275217,9eccd806894ae0aea5a13634
997916.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:02.433666,9eccd806894ae0aea5a13634
997939.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:03.236985,9eccd806894ae0aea5a13634
997959.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:04.629140,9eccd806894ae0aea5a13634
9979797.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:04.916253,9eccd806894ae0aea5a13634
9978v.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:04.936912,9eccd806894ae0aea5a13634
997977.cn,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:05.026829,9eccd806894ae0aea5a13634
997942.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:05.082037,9eccd806894ae0aea5a13634
99800sc.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:06.970115,9eccd806894ae0aea5a13634
997ole.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:07.488076,9eccd806894ae0aea5a13634
9979b.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:07.823910,9eccd806894ae0aea5a13634
997z6.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:08.020139,9eccd806894ae0aea5a13634
9981155.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:10.065156,9eccd806894ae0aea5a13634
9981338.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:10.557640,9eccd806894ae0aea5a13634
99809.vip,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:11.076647,9eccd806894ae0aea5a13634
99810.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:11.558237,9eccd806894ae0aea5a13634
99818.biz,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:13.797792,9eccd806894ae0aea5a13634
998197.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:13.808494,9eccd806894ae0aea5a13634
99819.org,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:15.156743,9eccd806894ae0aea5a13634
9982019.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:15.461637,9eccd806894ae0aea5a13634
998209.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:16.204520,9eccd806894ae0aea5a13634
998231.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:17.760017,9eccd806894ae0aea5a13634
998214.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:18.000876,9eccd806894ae0aea5a13634
